participant_id,age,sex,trip_id,trip_mode,trip_duration
1000067396,48,male,1000067396624,car,35
1000067396,48,male,1000067396625,car,40
1000067396,48,male,1000067396626,car,10
1000067397,32,female,1000067397627,pedestrian,5
1000067397,32,female,1000067397628,pedestrian,5
1000067398,5,female,1000067398629,pedestrian,5
1000067398,5,female,1000067398630,pedestrian,5
1000073401,35,male,1000073401631,car,60
1000073401,35,male,1000073401632,car,60
1000153114,34,male,1000153114218,car,20
1000153114,34,male,1000153114217,car,20
1000153115,26,female,1000153115220,bus,30
1000153115,26,female,1000153115219,bus,30
1000153116,70,male,1000153116224,pedestrian,5
1000153116,70,male,1000153116225,pedestrian,5
1000153118,4,male,1000153118226,pedestrian,2
1000153118,4,male,1000153118227,pedestrian,2
1000195239,36,male,1000195239373,motorcycle,30
1000195239,36,male,1000195239374,motorcycle,30
1000195240,36,female,1000195240375,motorcycle,30
1000195240,36,female,1000195240376,motorcycle,30
1000195241,15,male,1000195241377,other,15
1000195241,15,male,1000195241378,other,10
1000195242,7,male,1000195242379,other,15
1000195242,7,male,1000195242380,other,15
10003011241,7,female,100030112412186,pedestrian,10
10003011241,7,female,100030112412187,pedestrian,10
10003011242,29,male,100030112422188,motorcycle,60
10003011242,29,male,100030112422189,motorcycle,60
1000361273,45,male,1000361273559,motorcycle,60
1000361273,45,male,1000361273564,motorcycle,60
1000361274,38,female,1000361274562,bus,30
1000361274,38,female,1000361274563,bus,30
1000361275,8,female,1000361275565,pedestrian,20
1000361275,8,female,1000361275566,pedestrian,20
1000488554,30,female,1000488554849,car,35
1000488554,30,female,1000488554850,car,40
1000625732,42,female,10006257321844,rail,55
1000625732,42,female,10006257321845,rail,30
1000625733,15,female,10006257331847,pedestrian,15
1000625733,15,female,10006257331848,pedestrian,30
10007491,79,male,100074915173,pedestrian,5
10007491,79,male,100074915174,pedestrian,5
10007491,79,male,100074915175,pedestrian,5
10007491,79,male,100074915176,pedestrian,5
10007491,79,male,100074915177,taxi,30
10007491,79,male,100074915178,taxi,30
10007492,70,female,100074925183,taxi,30
10007492,70,female,100074925184,taxi,30
10007492,70,female,100074925180,pedestrian,5
10007492,70,female,100074925181,pedestrian,15
10007492,70,female,100074925182,pedestrian,5
10007492,70,female,100074925179,pedestrian,5
10007492404,46,male,100074924045185,taxi,40
10007492404,46,male,100074924045186,taxi,30
100076415,36,female,10007641593,bus,30
100076415,36,female,10007641592,bus,30
100076416,60,female,10007641694,pedestrian,10
100076416,60,female,10007641695,pedestrian,15
10007643,38,male,1000764388,car,5
10007643,38,male,1000764389,car,8
10008551243,53,male,100085512432190,pedestrian,3
10008551243,53,male,100085512432191,pedestrian,3
1000886734,34,male,10008867341850,motorcycle,20
1000886734,34,male,10008867341851,motorcycle,60
1000886735,32,male,10008867351852,motorcycle,30
1000886735,32,male,10008867351853,motorcycle,30
1000886736,27,male,10008867361854,bus,20
1000886736,27,male,10008867361855,bus,20
1000934737,32,male,10009347371857,bus,60
1000934737,32,male,10009347371858,bus,60
1000934737,32,male,10009347371859,bus,45
1000934738,36,female,10009347381861,bus,30
1000934738,36,female,10009347381862,bus,45
1000934739,60,male,10009347391864,car,45
1000934739,60,male,10009347391866,car,60
1000934740,58,female,10009347401868,bus,15
1000934740,58,female,10009347401869,bus,30
1000940741,60,female,10009407411871,pedestrian,5
1000940741,60,female,10009407411872,pedestrian,9
1000940741,60,female,10009407411874,pedestrian,5
1000940741,60,female,10009407411875,pedestrian,10
1000940742,61,male,10009407421877,pedestrian,5
1000940742,61,male,10009407421878,pedestrian,5
1000940742,61,male,10009407421879,pedestrian,15
1000940742,61,male,10009407421880,pedestrian,10
1000943402,56,female,1000943402633,pedestrian,2
1000943402,56,female,1000943402634,pedestrian,2
1001012743,62,male,10010127431882,pedestrian,20
1001012743,62,male,10010127431883,pedestrian,30
1001012744,65,female,10010127441885,pedestrian,20
1001012744,65,female,10010127441886,pedestrian,30
10010492780,62,male,100104927806504,bus,15
10010492780,62,male,100104927806505,bus,30
10010492781,59,female,100104927816506,bus,30
10010492781,59,female,100104927816507,bus,30
10010492781,59,female,100104927816508,bus,40
10010492781,59,female,100104927816509,bus,45
10010492782,17,female,100104927826510,pedestrian,10
10010492782,17,female,100104927826511,pedestrian,10
1001374403,49,male,1001374403635,car,30
1001374403,49,male,1001374403636,car,20
1001374404,40,female,1001374404637,car,30
1001374404,40,female,1001374404638,car,20
1001374405,24,female,1001374405639,rail,40
1001374405,24,female,1001374405640,rail,40
1001501407,41,male,1001501407641,bus,30
1001501407,41,male,1001501407642,bus,30
